,question
0,Meditate for five minutes
1,Uninstall unused apps from your devices
2,Learn to greet someone in a new language
3,Go on a long drive with no music
4,Sit in the dark and listen to your favorite music with no distractions
5,Organize your movie collection
6,Learn a new recipe
7,Visit a nearby museum
8,Make a new friend
9,Learn the periodic table
10,Pot some plants and put them around your house
11,Learn how to play a new sport
12,Go on a long drive with no music
13,Start a band
14,Start a collection
15,Create and follow a savings plan
16,Play a game of tennis with a friend
17,Make homemade ice cream
18,Take your cat on a walk
19,Have a picnic with some friends
20,Research a topic you're interested in
21,Mow your lawn
22,Prepare a dish from a foreign culture
23,Create or update your resume
24,Watch a movie you'd never usually watch
25,Listen to a new podcast
26,Configure two-factor authentication on your accounts
27,Contribute code or a monetary donation to an open-source software project
28,Hold a video game tournament with some friends
29,Learn and play a new card game
30,Learn Kotlin
31,Write a song
32,Catch up on world news
33,Take your cat on a walk
34,Invite some friends over for a game night
35,Learn how the internet works
36,Learn Express.js
37,Contribute code or a monetary donation to an open-source software project
38,Go for a walk
39,Bake pastries for you and your neighbor
40,Plan a vacation you've always wanted to take
41,Start a collection
42,Play a game of Monopoly
43,Catch up on world news
44,Back up important computer files
45,Organize your movie collection
46,Make a couch fort
47,Start a family tree
48,Make a simple musical instrument
49,Visit a nearby museum
50,Draw and color a Mandala
51,Clean out your closet and donate the clothes you've outgrown
52,Learn Javascript
53,Volunteer and help out at a senior center
54,Go to a music festival with some friends
55,Uninstall unused apps from your devices
56,Organize your dresser
57,Visit your past teachers
58,Write a note of appreciation to someone
59,Have a football scrimmage with some friends
60,Meditate for five minutes
61,Give your pet ten minutes of focused attention
62,Research a topic you're interested in
63,Have a football scrimmage with some friends
64,Go to a karaoke bar with some friends
65,Learn a new recipe
66,Make a new friend
67,Create or update your resume
68,Plant a tree
69,Make a bucket list
70,Prepare a 72-hour kit
71,Read a formal research paper on an interesting subject
72,Organize your basement
73,Make a new friend
74,Make homemade ice cream
75,Make a new friend
76,Organize your pantry
77,Volunteer and help out at a senior center
78,Organize a cluttered drawer
79,Make a to-do list for your week
80,Learn to sew on a button
81,Have a photo session with some friends
82,Look at your finances and find one way to save money
83,Prepare a dish from a foreign culture
84,Play a game of Monopoly
85,Find a charity and donate to it
86,Match your storage containers with their lids
87,Shred old documents you don't need anymore
88,Mow your neighbor's lawn
89,Improve your touch typing
90,Rearrange and organize your room
91,Volunteer at a local animal shelter
92,Learn how to beatbox
93,Start a webinar on a topic of your choice
94,Learn how to fold a paper crane
95,Fix something that's broken in your house
96,Practice coding in your favorite lanaguage
97,Explore the nightlife of your city
98,Think of a new business idea
99,Bake a pie with some friends
100,Go to the gym
101,Create or update your resume
102,Learn to sew on a button
103,Take a hike at a local park
104,Catch up with a friend over a lunch date
105,Mow your neighbor's lawn
106,Start a band
107,Start a garden
108,Cook something together with someone
109,Mow your neighbor's lawn
110,Paint the first thing you see
111,Learn about a distributed version control system such as Git
112,Read a formal research paper on an interesting subject
113,Prepare a dish from a foreign culture
114,Match your storage containers with their lids
115,Go on a fishing trip with some friends
116,Hold a yard sale
117,Learn origami
118,Go see a Broadway production
119,Clean out your car
120,Surprise your significant other with something considerate
121,Start a webinar on a topic of your choice
122,Watch the sunset or the sunrise
123,Go to a concert with some friends
124,Hold a video game tournament with some friends
125,Write a note of appreciation to someone
126,Start a collection
127,Meditate for five minutes
128,Learn how to make a website
129,Resolve a problem you've been putting off
130,Shred old documents you don't need anymore
131,Make a bucket list
132,Draw and color a Mandala
133,Draw something interesting
134,Catch up with a friend over a lunch date
135,Go swimming with a friend
136,Look at pictures and videos of cute animals
137,Prepare a 72-hour kit
138,Start a family tree
139,Learn the NATO phonetic alphabet
140,Learn how to play a new sport
141,Paint the first thing you see
142,Patronize a local independent restaurant
143,Go on a fishing trip with some friends
144,Learn how to make a website
145,Make a couch fort
146,Take a class at your local community center that interests you
147,Draw something interesting
148,Start a collection
149,Play a volleyball match with some friends
150,Shop at support your local farmers market
151,Invite some friends over for a game night
152,Create a compost pile
153,Do a jigsaw puzzle
154,Research a topic you're interested in
155,Configure two-factor authentication on your accounts
156,Learn Javascript
157,Go to a karaoke bar with some friends
158,Plan a vacation you've always wanted to take
159,Bake something you've never tried before
160,Write a poem
161,Sit in the dark and listen to your favorite music with no distractions
162,Learn Kotlin
163,Go to the library and find an interesting book
164,Rearrange and organize your room
165,Take a class at your local community center that interests you
166,Write a poem
167,Play basketball with a group of friends
168,Make a scrapbook with pictures of your favorite memories
169,Draw something interesting
170,Create a compost pile
171,Clean out your refrigerator
172,Make a bucket list
173,Go see a movie in theaters with a few friends
174,Shred old documents you don't need anymore
175,Shop at support your local farmers market
176,Find a DIY to do
177,Make your own LEGO creation
178,Explore the nightlife of your city
179,Start a book you've never gotten around to reading
180,Explore the nightlife of your city
181,Learn how to whistle with your fingers
182,Go to a music festival with some friends
183,Learn the NATO phonetic alphabet
184,Have a photo session with some friends
185,Learn how to fold a paper crane
186,Learn the Chinese erhu
187,Plan a vacation you've always wanted to take
188,Clean out your closet and donate the clothes you've outgrown
189,Organize your dresser
190,Meditate for five minutes
191,Volunteer at your local food pantry
192,Plan a vacation you've always wanted to take
193,Host a movie marathon with some friends
194,Learn how to iceskate or rollerskate
195,Surprise your significant other with something considerate
196,Surprise your significant other with something considerate
197,Host a movie marathon with some friends
198,Plant a tree
199,Take a class at your local community center that interests you
200,Bake something you've never tried before
201,Do something you used to do as a kid
202,Paint the first thing you see
203,Clean out your closet and donate the clothes you've outgrown
204,Go to the gym
205,Go to a local thrift shop
206,Play a game of tennis with a friend
207,Write a list of things you are grateful for
208,Write a thank you letter to an influential person in your life
209,Learn how to use a french press
210,Go to the gym
211,Learn woodworking
212,Listen to your favorite album
213,Go for a walk
214,Write a poem
215,Create or update your resume
216,Make homemade ice cream
217,Go for a run
218,Match your storage containers with their lids
219,Host a movie marathon with some friends
220,Learn origami
221,Start a garden
222,Make homemade ice cream
223,Watch a classic movie
224,Have a picnic with some friends
225,Make a bucket list
226,Catch up with a friend over a lunch date
227,Create a meal plan for the coming week
228,Learn how to make an Alexa skill
229,Find a DIY to do
230,Look at your finances and find one way to save money
231,Buy a new house decoration
232,Do something you used to do as a kid
233,Learn to sew on a button
234,Contribute code or a monetary donation to an open-source software project
235,Learn how the internet works
236,Clean out your refrigerator
237,Learn how to use an Arduino
238,Clean out your refrigerator
239,Learn a new recipe
240,Prepare a dish from a foreign culture
241,Create a compost pile
242,Write a note of appreciation to someone
243,Start a collection
244,Start a book you've never gotten around to reading
245,Catch up with a friend over a lunch date
246,Start a band
247,Plant a tree
248,Learn how to make an Alexa skill
249,Clean out your closet and donate the clothes you've outgrown
250,Back up important computer files
251,Organize your basement
252,Have a football scrimmage with some friends
253,Invite some friends over for a game night
254,Start a blog for something you're passionate about
255,Color
256,Take a caffeine nap
257,Do something nice for someone you care about
258,Learn a new recipe
259,Have a jam session with your friends
260,Organize your basement
261,Do a jigsaw puzzle
262,Learn how the internet works
263,Go for a walk
264,Organize a bookshelf
265,Go to a concert with some friends
266,Start a band
267,Write a thank you letter to an influential person in your life
268,Create a cookbook with your favorite recipes
269,Take a class at your local community center that interests you
270,Hold a video game tournament with some friends
271,Rearrange and organize your room
272,Meditate for five minutes
273,Learn how to make a website
274,Start a blog for something you're passionate about
275,Do a jigsaw puzzle
276,Take a spontaneous road trip with some friends
277,Bake something you've never tried before
278,Start a garden
279,Learn how to make an Alexa skill
280,Organize your dresser
281,Draw something interesting
282,Learn woodworking
283,Learn Morse code
284,Do something nice for someone you care about
285,Listen to music you haven't heard in a while
286,Make a budget
287,Make bread from scratch
288,Go to a music festival with some friends
289,Surprise your significant other with something considerate
290,Learn Morse code
291,Plan a trip to another country
292,Take a caffeine nap
293,Watch a Khan Academy lecture on a subject of your choosing
294,Organize a cluttered drawer
295,Go for a run
296,Learn Kotlin
297,Make a to-do list for your week
298,Go to a nail salon
